pert_iname	classes
goserelin	hormones, hormone substitutes, and hormone antagonists|amino acids, peptides, and proteins|antineoplastic and immunomodulating agents|adrenal cortex hormones|miscellaneous therapeutic agents|antineoplastic agents|drugs that are mainly renally excreted|gonadotropin releasing hormone receptor agonists|gonadotropin releasing hormone agonist|peptides|gonadotropins and antigonadotropins|hormones and related agents|antineoplastic agents, hormonal|qtc prolonging agents|peptide hormones|hypothalamic hormones|hyperglycemia associated agents|oligopeptides|moderate risk qtc prolonging agents|neuropeptides|gonadotropin releasing hormone receptor agonist|nerve tissue proteins|pituitary hormone releasing hormones|endocrine therapy|hormones|proteins
cyclosporin a	amino acids, peptides, and proteins|oatp1b3 inhibitors|bcrp/abcg2 inhibitors|agents that produce neuromuscular block (indirect)|ophthalmologicals|cytochrome p 450 cyp3a4 substrates|calcineurin inhibitor immunosuppressant|nephrotoxic agents|p glycoprotein inhibitors|oat1/slc22a6 substrates|p glycoprotein substrates|peptides|agents that produce hypertension|oatp1b1/slco1b1 inhibitors|cytochrome p 450 cyp2d6 inhibitors|oatp1b1/slco1b1 substrates|cyclosporins|agents that reduce seizure threshold|cytochrome p 450 enzyme inhibitors|agents causing muscle toxicity|calcineurin inhibitors|anti inflammatory agents|cytochrome p 450 cyp2c19 inhibitors (strength unknown)|cytochrome p 450 cyp3a4 inhibitors|cytochrome p 450 cyp3a4 inhibitors (moderate)|peptides, cyclic|cytochrome p 450 cyp3a5 substrates with a narrow therapeutic index|cytochrome p 450 substrates|bsep/abcb11 substrates with a narrow therapeutic index|enzyme inhibitors|oat1/slc22a6 inhibitors|cytochrome p 450 cyp3a inhibitors|cytochrome p 450 cyp3a4 substrates with a narrow therapeutic index|antirheumatic agents|immunosuppressive agents|cytochrome p 450 cyp2c19 inhibitors|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp2d6 inhibitors (moderate)|cytochrome p 450 cyp3a5 substrates|neurotoxic agents|dermatologicals|agents causing hyperkalemia|narrow therapeutic index drugs|p glycoprotein substrates with a narrow therapeutic index|bsep/abcb11 substrates|bsep/abcb11 inhibitors|immunologic factors
pdgfb	amino acids, peptides, and proteins|neoplasm proteins|acids|phosphoric acids|stomatological preparations|angiogenesis modulating agents|phosphorus acids|dna binding proteins|calcium compounds|electrolytes|ions|peptides|anions|proto oncogene proteins|cicatrizants|angiogenesis inducing agents|preparations for treatment of wounds and ulcers|human platelet derived growth factor|hematologic agents|intercellular signaling peptides and proteins|acids, noncarboxylic|biological factors|platelet derived growth factor|growth substances|blood proteins|dermatologicals|alimentary tract and metabolism|proto oncogene proteins c sis|oncogene proteins|proteins|phosphorus compounds
cyanocobalamin	growth substances|vitamin b12 and folic acid|iron preparations|antianemic preparations|heterocyclic compounds, fused ring|micronutrients|corrinoids|drugs that are mainly renally excreted|vitamin b 12, biosynthesis|food|vitamin b complex|diet, food, and nutrition|blood and blood forming organs|vitamins|food and beverages
biotin	vitamins|growth substances|supplements|enzymes and coenzymes|imidazoles|alimentary tract and metabolism|micronutrients|coenzymes|food|vitamin b complex|diet, food, and nutrition|dietary supplements|food and beverages|physiological phenomena
ascorbic acid	acids, acyclic|carbohydrates|micronutrients|ophthalmologicals|food|vitamin c and analogues|food and beverages|organic acids|gastrointestinal acidifying agents|protective agents|sugar acids|gynecological antiinfectives and antiseptics|diet, food, and nutrition|physiological phenomena|antioxidants|growth substances|compounds used in a research, industrial, or household setting|hydroxy acids|alimentary tract and metabolism|genito urinary system and sex hormones|sensory organs|urinary acidifying agents|vitamins
glutamine	amino acids, peptides, and proteins|supplements|amino acids and derivatives|amino acids, neutral|alimentary tract and metabolism|amino acids, diamino|amino acids|amino acids, basic|glutamine|dietary supplements
adenosine phosphate	carbohydrates|supplements|nucleotides|purine nucleotides|ribonucleotides|heterocyclic compounds, fused ring|glycosides|purines|nucleic acids, nucleotides, and nucleosides|adenine nucleotides|dietary supplements
alpha linolenic acid	dietary fats, unsaturated|linolenic acids|supplements|fatty acids, essential|dietary fats|fatty acids, omega 3|fatty acids|fish oils|lipids|food|oils|fats|diet, food, and nutrition|dietary supplements|fatty acids, unsaturated|food and beverages|physiological phenomena
met	amino acids, peptides, and proteins|supplements|amino acids, neutral|antidotes|amino acids, sulfur|amino acids|sulfur compounds|dietary supplements|amino acids, essential
calcitriol	antipsoriatics|membrane transport modulators|micronutrients|calcium regulating hormones and agents|food|cytochrome p 450 cyp3a4 inducers|cytochrome p 450 cyp3a4 substrates|fused ring compounds|food and beverages|cholestenes|antipsoriatics for topical use|vitamin d and analogues|vitamins (fat soluble)|cytochrome p 450 substrates|cytochrome p 450 cyp3a inducers|diet, food, and nutrition|bone density conservation agents|vitamins|physiological phenomena|growth substances|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp3a4 inducers (strength unknown)|cytochrome p 450 enzyme inducers|alimentary tract and metabolism|steroids|lipids|cholestanes|misc. skin and mucous membrane agents|secosteroids|sterols|membrane lipids
riboflavin	micronutrients|ophthalmologicals|food|food and beverages|photosensitizing agents|pteridines|flavins|enzymes and coenzymes|oat1/slc22a6 inhibitors|coenzymes|pigments, biological|vitamin b complex|diet, food, and nutrition|heterocyclic compounds, fused ring|biological factors|physiological phenomena|growth substances|radiation sensitizing agents|dermatologicals|alimentary tract and metabolism|sensory organs|vitamins
calcifediol	micronutrients|food|fused ring compounds|food and beverages|cholestenes|vitamin d and analogues|vitamins (fat soluble)|diet, food, and nutrition|bone density conservation agents|physiological phenomena|growth substances|steroids|alimentary tract and metabolism|lipids|cholestanes|vitamins|secosteroids|sterols|membrane lipids
tryptophan	amino acids, aromatic|amino acids, peptides, and proteins|nervous system|supplements|amino acids, cyclic|antidepressive agents, second generation|miscellaneous antidepressants|psychoanaleptics|central nervous system agents|psychotropic drugs|serotonergic drugs shown to increase risk of serotonin syndrome|tryptophan|amino acids|central nervous system depressants|antidepressive agents|dietary supplements|amino acids, essential
thiamine	growth substances|thiazoles|alimentary tract and metabolism|micronutrients|pyrimidines|sulfur compounds|oct2 inhibitors|oct1 substrates|food|vitamin b complex|diet, food, and nutrition|vitamins|food and beverages|physiological phenomena
dihomo gamma linolenic acid	supplements|eicosanoids|biological factors|fatty acids|inflammation mediators|lipids|dietary supplements|fatty acids, unsaturated|autacoids
cit	acids, acyclic|amino acids, peptides, and proteins|supplements|hydroxy acids|oat1/slc22a6 substrates|amino acids, diamino|amino acids|proteins|dicarboxylic acids|dietary supplements|oat3/slc22a8 substrates
folic acid	vitamin b12 and folic acid|diagnostic agents|micronutrients|drugs that are mainly renally excreted|food|dietary supplements|food and beverages|supplements|pterins|pteridines|hematinics|bcrp/abcg2 substrates|autacoids|folic acid and derivatives|hematologic agents|oat1/slc22a6 inhibitors|vitamin b complex|diet, food, and nutrition|biological factors|heterocyclic compounds, fused ring|growth substances|antianemic preparations|vitamins
icosapent	dietary fats, unsaturated|fatty acids, omega 3|anti inflammatory agents, non steroidal|anti inflammatory agents, non steroidal (non selective)|fish oils|food|oils|dietary supplements|food and beverages|nephrotoxic agents|supplements|dietary fats|fatty acids|agents that produce hypertension|non cox 2 selective nsaids|autacoids|anti inflammatory agents|fats|diet, food, and nutrition|biological factors|physiological phenomena|hypolipidemic agents|eicosanoids|agents causing hyperkalemia|inflammation mediators|lipids|fatty acids, unsaturated
retinol	adjuvants, immunologic|cyclohexanes|diagnostic agents|cyclohexenes|micronutrients|ophthalmologicals|food|polyenes|food and beverages|tests for fat absorption|anti acne preparations for topical use|anticarcinogenic agents|cycloparaffins|alkenes|protective agents|vitamin a|vitamins (fat soluble)|carotenoids|anti acne preparations|retinoids for topical use in acne|retinoids|pigments, biological|diet, food, and nutrition|biological factors|physiological phenomena|antioxidants|growth substances|compounds used in a research, industrial, or household setting|nasal preparations|dermatologicals|alimentary tract and metabolism|sensory organs|terpenes|vitamins|immunologic factors
alpha tocopherol	micronutrients|food|cytochrome p 450 cyp3a4 inducers|dietary supplements|cytochrome p 450 cyp3a4 substrates|food and beverages|vitamin e, analogs & derivatives|supplements|protective agents|benzopyrans|vitamins (fat soluble)|basic ointments and protectants|cytochrome p 450 substrates|vitamin e|cytochrome p 450 cyp3a inducers|diet, food, and nutrition|heterocyclic compounds, fused ring|physiological phenomena|antioxidants|growth substances|compounds used in a research, industrial, or household setting|cytochrome p 450 cyp3a substrates|cytochrome p 450 cyp3a4 inducers (strength unknown)|cytochrome p 450 enzyme inducers|pyrans|vitamins
pyridoxine	picolines|pyridines|antiinfectives for systemic use|alimentary tract and metabolism|drugs for treatment of tuberculosis|antimycobacterials|micronutrients|drugs that are mainly renally excreted|food|analogs/derivatives|diet, food, and nutrition|vitamins|food and beverages|vitamin b complex
menadione	quinones|micronutrients|cytochrome p 450 cyp1a2 inducers (strength unknown)|food|dietary supplements|food and beverages|supplements|cytochrome p 450 cyp1a2 inducers|cytochrome p 450 cyp2a6 inhibitors (strength unknown)|phytol|blood and blood forming organs|naphthoquinones|vitamins (fat soluble)|cytochrome p 450 enzyme inhibitors|coagulants|hematologic agents|hemostatics|vitamins|diet, food, and nutrition|physiological phenomena|growth substances|cytochrome p 450 enzyme inducers|diterpenes|antifibrinolytic agents|terpenes|cytochrome p 450 cyp2a6 inhibitors|vitamin k|naphthalenes|fibrin modulating agents
pravastatin	drugs causing inadvertant photosensitivity|oatp1b3 substrates|hydroxymethylglutaryl coa reductase inhibitors|bcrp/abcg2 inhibitors|lipid regulating agents|p glycoprotein substrates|photosensitizing agents|oat3/slc22a8 inhibitors|lipid modifying agents|bcrp/abcg2 substrates|hypolipidemic agents indicated for hyperlipidemia|oatp1b1/slco1b1 substrates|agents causing muscle toxicity|enzyme inhibitors|oat1/slc22a6 inhibitors|noxae|lipid modifying agents, plain|hypolipidemic agents|bsep/abcb11 substrates|anticholesteremic agents|toxic actions|oat3/slc22a8 substrates
