pert_iname	classes
tangeritin	Flavones|Flavonoids
biochanin-a	Isoflavones|Isoflavonoids|Flavonoids
helveticoside	Steroids|Terpenoids|Cardanolide
lobelanidine	Alkaloids|Alkaloids derived from lysine|Piperidine alkaloids
retrorsine	Alkaloids derived from ornithine|Alkaloids|Pyrrolizidine alkaloids
harpagoside	Iridoids|Terpenoids|Monoterpenoids (C10)
leucodin	Guaianolide|Sesquiterpenoids (C15)|Terpenoids
icosapent	Triterpenoids (C30)|Liner triterpenes|Terpenoids
kavain	Polyketides|alpha-Pyrones|Pyrones
genipin	Iridoids|Terpenoids|Monoterpenoids (C10)
fusaric-acid	Alkaloids|Alkaloids derived from lysine|Piperidine alkaloids
hyoscyamine	Tropane alkaloids|Alkaloids derived from ornithine|Alkaloids
reserpine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
desoxypeganine	Alkaloids derived from tryptophan and anthranilic acid|Alkaloids|Quinazoline alkaloids
hinokitiol	Terpenoids|Cyclic monoterpenes|Monoterpenoids (C10)
physostigmine	Alkaloids derived from tryptophan and anthranilic acid|Pyrroloindole alkaloids|Alkaloids
theophylline	Purine alkaloids|Alkaloids|Others
rescinnamine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
farnesol	Sesquiterpenoids (C15)|Terpenoids|Farnesenes
arctigenin	Lignans|Phenylpropanoids
kawain	Polyketides|alpha-Pyrones|Pyrones
gamma-linolenic-acid	Unsaturated fatty acids|Fatty acids|Fatty acids related compounds
skimmianine	Quinoline alkaloids|Alkaloids|Alkaloids derived from tryptophan and anthranilic acid
fraxetin	Phenylpropanoids|Coumarins
cosmosiin	Flavones|Flavonoids
dantron	Anthraquinones|Anthraquinone type|Polyketides
polydatin	Shikimate / acetate-malonate pathway derived compounds|Stilbenoids|Stilbenes
pseudopelletierine	Alkaloids|Alkaloids derived from lysine|Piperidine alkaloids
thapsigargin	Guaianolide|Sesquiterpenoids (C15)|Terpenoids
esculin	Phenylpropanoids|Coumarins
ergocornine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
prostratin	Diterpenoids (C20)|Tiglianes|Terpenoids
quercetagetin	Flavonols|Flavonoids
catechin	Flavan 3-ols|Flavonoids
camptothecin	Quinoline alkaloids|Alkaloids|Alkaloids derived from tryptophan and anthranilic acid
isoquercetin	Flavonols|Flavonoids
vinburnine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
chelidonine	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
betulinic-acid	Triterpenoids (C30)|Lupanes|Terpenoids
karakoline	Alkaloids derived by amination reactions|Terpenoid alkaloids|Alkaloids
resveratrol	Shikimate / acetate-malonate pathway derived compounds|Stilbenoids|Stilbenes
nicotine	Alkaloids|Alkaloids derived from nicotinic acid|Pyridine alkaloids
withaferin-a	Steroids|Terpenoids|Others
nicotinamide	Alkaloids|Alkaloids derived from nicotinic acid|Pyridine alkaloids
hyperoside	Flavonols|Flavonoids
cephaeline	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
asiatic-acid	Triterpenoids (C30)|Ursanes|Terpenoids
rottlerin	Polyketides|Phloroglucinols|Others
xanthohumol	Chalcones|Flavonoids
daphnetin	Phenylpropanoids|Coumarins
cyclopamine	Alkaloids derived by amination reactions|Alkaloids|Steroid alkaloids
digoxin	Steroids|Terpenoids|Cardanolide
linoleic-acid	Unsaturated fatty acids|Fatty acids|Fatty acids related compounds
capsaicin	Capsaicinoids and derivatives|Amino acid related compounds|Others
geranylgeraniol	Linear diterpenes|Diterpenoids (C20)|Terpenoids
NSC-94258	Flavones|Flavonoids
niacin	Alkaloids|Alkaloids derived from nicotinic acid|Pyridine alkaloids
ambelline	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
cephalotaxine	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
dubinidine	Quinoline alkaloids|Alkaloids|Alkaloids derived from tryptophan and anthranilic acid
osthol	Phenylpropanoids|Coumarins
anabasine	Alkaloids|Alkaloids derived from nicotinic acid|Pyridine alkaloids
irinotecan	Quinoline alkaloids|Alkaloids|Alkaloids derived from tryptophan and anthranilic acid
umbelliferone	Phenylpropanoids|Coumarins
vitexin	Flavones|Flavonoids
caffeic-acid	Monolignols|Caffeate derivatives|Phenylpropanoids
calycanthine	Alkaloids|Others
deltaline	Alkaloids derived by amination reactions|Terpenoid alkaloids|Alkaloids
nobiletin	Flavones|Flavonoids
ephedrine-(racemic)	Alkaloids derived by amination reactions|Alkaloids|Phenylalanine derived alkaloids
seneciphylline	Alkaloids derived from ornithine|Alkaloids|Pyrrolizidine alkaloids
podophyllotoxin	Lignans|Phenylpropanoids
pseudoephedrine	Alkaloids derived by amination reactions|Alkaloids|Phenylalanine derived alkaloids
peucedanin	Furanocoumarins|Phenylpropanoids|Coumarins
ricinine	Alkaloids|Alkaloids derived from nicotinic acid|Pyridine alkaloids
galantamine	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
trioxsalen	Furanocoumarins|Phenylpropanoids|Coumarins
daidzein	Isoflavones|Isoflavonoids|Flavonoids
cucurbitacin-i	Triterpenoids (C30)|Cucurbitanes|Terpenoids
sinensetin	Flavones|Flavonoids
marmesin	Furanocoumarins|Phenylpropanoids|Coumarins
herniarin	Phenylpropanoids|Coumarins
yohimbine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
fillalbin	Tropane alkaloids|Alkaloids derived from ornithine|Alkaloids
protopine	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
piceid	Shikimate / acetate-malonate pathway derived compounds|Stilbenoids|Stilbenes
salsolinol	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
rhamnetin	Flavonols|Flavonoids
ingenol	Diterpenoids (C20)|Terpenoids|Others
eugenol	Phenylpropanoids|Monolignols|Others
evodiamine	Alkaloids derived from tryptophan and anthranilic acid|Alkaloids|Quinazoline alkaloids
delcorine	Alkaloids derived by amination reactions|Terpenoid alkaloids|Alkaloids
hesperidin	Flavanones|Flavonoids
coumestrol	Coumestanes|Isoflavonoids|Flavonoids
strychnine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
7,4'-dihydroxyflavone	Flavones|Flavonoids
pilocarpine	Alkaloids|Alkaloids derived from histidine|Imidazole alkaloids
equol	Isoflavonoids|Isoflavanes|Flavonoids
strophanthidin	Steroids|Terpenoids|Cardanolide
emetine	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
epigallocatechin-gallate-(-)	Flavan 3-ols|Flavonoids
ephedrine	Alkaloids derived by amination reactions|Alkaloids|Phenylalanine derived alkaloids
isoliquiritigenin	Chalcones|Flavonoids
aristolochic-acid	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
androstenedione	Androstane|Steroids|Terpenoids
liquiritigenin	Flavanones|Flavonoids
ellipticine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
phloretin	Dihydrochalcones|Flavonoids
salvinorin-a	Diterpenoids (C20)|Clerodanes|Terpenoids
tubocurarine	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
evoxine	Quinoline alkaloids|Alkaloids|Alkaloids derived from tryptophan and anthranilic acid
nornicotine	Alkaloids|Alkaloids derived from nicotinic acid|Pyridine alkaloids
myricetin	Flavonols|Flavonoids
testosterone	Androstane|Steroids|Terpenoids
gossypol	Cadinanes|Sesquiterpenoids (C15)|Terpenoids
berbamine	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
cymarin	Steroids|Terpenoids|Cardanolide
honokiol	Lignans|Neolignans|Phenylpropanoids
baccatin-III	Diterpenoids (C20)|Taxanes|Terpenoids
brucine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
gingerol	Shikimate / acetate-malonate pathway derived compounds|Zingiber derived compounds|Others
forskolin	Diterpenoids (C20)|Terpenoids|Others
ouabain	Steroids|Terpenoids|Cardanolide
dictamnine	Quinoline alkaloids|Alkaloids|Alkaloids derived from tryptophan and anthranilic acid
lobeline	Alkaloids|Alkaloids derived from lysine|Piperidine alkaloids
apigenin	Flavones|Flavonoids
papaverine	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
taxifolin	Dihyroflavonols|Flavonoids
bicuculline	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
caffeine	Purine alkaloids|Alkaloids|Others
rhapontin	Shikimate / acetate-malonate pathway derived compounds|Stilbenoids|Stilbenes
rutin	Flavonols|Flavonoids
methoxsalen	Furanocoumarins|Phenylpropanoids|Coumarins
limonin	Triterpenoids (C30)|Terpenoids|Limonoids
boldine	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
vincristine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
dihydrosamidin	Phenylpropanoids|Coumarins
noscapine	Alkaloids|Alkaloids derived from tyrosine|Isoquinoline alkaloids
piperine	Alkaloids|Alkaloids derived from lysine|Piperidine alkaloids
naringin	Flavanones|Flavonoids
ergocryptine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
ergometrine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
phorbol-12-myristate-13-acetate	Diterpenoids (C20)|Tiglianes|Terpenoids
pinocembrin	Flavanones|Flavonoids
butein	Chalcones|Flavonoids
secoisolariciresinol	Lignans|Phenylpropanoids
coumarin	Phenylpropanoids|Coumarins
oleanolic-acid	Triterpenoids (C30)|Terpenoids|Oleananes
imperatorin	Furanocoumarins|Phenylpropanoids|Coumarins
heliotrine	Alkaloids derived from ornithine|Alkaloids|Pyrrolizidine alkaloids
eriodictyol	Flavanones|Flavonoids
prunetin	Isoflavones|Isoflavonoids|Flavonoids
digitoxin	Steroids|Terpenoids|Cardanolide
triptolide	Diterpenoids (C20)|Terpenoids|Others
dopamine	Alkaloids|Tyramine derivatives|Alkaloids derived from tyrosine
deguelin	Rotenones|Isoflavonoids|Flavonoids
lawsone	Others|alpha-Naphthoquinones|Naphthoquinones
estrone	Terpenoids|Estrane|Steroids
maackiain	Pterocarpans|Isoflavonoids|Flavonoids
pterostilbene	Shikimate / acetate-malonate pathway derived compounds|Stilbenoids|Stilbenes
vincamine	Alkaloids derived from tryptophan and anthranilic acid|Indole alkaloids|Alkaloids
genistein	Isoflavones|Isoflavonoids|Flavonoids
piperlongumine	Alkaloids|Alkaloids derived from lysine|Piperidine alkaloids
colforsin	Diterpenoids (C20)|Terpenoids|Others
