pert_iname	classes
mafenide	Sulfonamides|Organic Chemicals|Pharmacologic Actions|Sulfur Compounds|Sulfones|Carbonic Anhydrase Inhibitors|Anti-Bacterial Agents|Anti-Infective Agents|Chemicals and Drugs Category|Molecular Mechanisms of Pharmacological Action|Amides|Anti-Infective Agents, Local|Chemical Actions and Uses|Mafenide|Inorganic Chemicals|Therapeutic Uses|Enzyme Inhibitors
FR-139317	Heterocyclic Compounds|Heterocyclic Compounds, 2-Ring|Indoles|FR 139317|Chemicals and Drugs Category|Heterocyclic Compounds, Fused-Ring|Heterocyclic Compounds, 1-Ring|Azepines
PCA-4248	Heterocyclic Compounds|Dihydropyridines|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Pyridines
cefpodoxime	Anti-Bacterial Agents|Anti-Infective Agents|Heterocyclic Compounds, Fused-Ring|Inorganic Chemicals|Pharmacologic Actions|Sulfur Compounds|Lactams|beta-Lactams|cefpodoxime|Cephacetrile|Heterocyclic Compounds|Organic Chemicals|Thiazines|Cephalosporins|Amides|Heterocyclic Compounds, 2-Ring|Cefotaxime|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
fenbufen	Acids, Carbocyclic|Pharmacologic Actions|Antirheumatic Agents|Carboxylic Acids|fenbufen|Anti-Inflammatory Agents|Analgesics|Enzyme Inhibitors|Organic Chemicals|Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Physiological Effects of Drugs|Molecular Mechanisms of Pharmacological Action|Phenylbutyrates|Analgesics, Non-Narcotic|Peripheral Nervous System Agents|Central Nervous System Agents|Chemicals and Drugs Category|Sensory System Agents|Chemical Actions and Uses|Therapeutic Uses
tamibarotene	Naphthalenes|Acids, Carbocyclic|Organic Chemicals|Benzene Derivatives|Polycyclic Compounds|Hydrocarbons, Cyclic|Chemicals and Drugs Category|Carboxylic Acids|Polycyclic Aromatic Hydrocarbons|Benzoates|Tetrahydronaphthalenes|Hydrocarbons|Hydrocarbons, Aromatic|tamibarotene
metrizamide	Plant Growth Regulators|Benzoates|Acids, Carbocyclic|Benzene Derivatives|Pharmacologic Actions|Triiodobenzoic Acids|Growth Substances|Glycosides|Hydrocarbons, Cyclic|Carboxylic Acids|Organic Chemicals|Metrizamide|Physiological Effects of Drugs|Aminoglycosides|Contrast Media|Hydrocarbons|Diagnostic Uses of Chemicals|Chemicals and Drugs Category|Specialty Uses of Chemicals|Carbohydrates|Chemical Actions and Uses|Hydrocarbons, Aromatic|Iodobenzoates
H-89	Organic Chemicals|Heterocyclic Compounds, 2-Ring|Sulfonamides|Sulfur Compounds|Protein Kinase Inhibitors|Sulfones|N-(2-(4-bromocinnamylamino)ethyl)-5-isoquinolinesulfonamide|Chemicals and Drugs Category|Pharmacologic Actions|Molecular Mechanisms of Pharmacological Action|Amides|Heterocyclic Compounds|Heterocyclic Compounds, Fused-Ring|Isoquinolines|Chemical Actions and Uses|Inorganic Chemicals|Enzyme Inhibitors
helveticoside	Cardiotonic Agents|Steroids|Digitalis Glycosides|Pharmacologic Actions|Glycosides|Enzyme Inhibitors|helveticoside|Physiological Effects of Drugs|Cardanolides|Cardiac Glycosides|Cardiovascular Agents|Protective Agents|Molecular Mechanisms of Pharmacological Action|Cardenolides|Anti-Arrhythmia Agents|Strophanthins|Polycyclic Compounds|Chemicals and Drugs Category|Specialty Uses of Chemicals|Fused-Ring Compounds|Carbohydrates|Chemical Actions and Uses|Therapeutic Uses
cirazoline	cirazoline|Nasal Decongestants|Vasoconstrictor Agents|Adrenergic Agents|Pharmacologic Actions|Respiratory System Agents|Heterocyclic Compounds|Imidazoles|Neurotransmitter Agents|Physiological Effects of Drugs|Azoles|Cardiovascular Agents|Molecular Mechanisms of Pharmacological Action|Adrenergic alpha-Agonists|Adrenergic alpha-1 Receptor Agonists|Adrenergic Agonists|Chemicals and Drugs Category|Heterocyclic Compounds, 1-Ring|Chemical Actions and Uses|Therapeutic Uses
