pert_iname	classes
quinpirole	Dopamine receptor agonist
flavanone	11-beta-HSD1 inhibitor
rutin	Antioxidant|Capillary stabilizing agent|Nitric oxide scavenger
6-benzylaminopurine	Purinergic receptor activator
tyrphostin-AG-527	Protein tyrosine kinase inhibitor
tyrphostin-AG-82	EGFR inhibitor
AG-957	Protein tyrosine kinase inhibitor
AG-99	Tyrosine kinase inhibitor
alaproclate	Serotonin receptor antagonist
albendazole	Tubulin inhibitor
alclometasone	Glucocorticoid receptor agonist
alfuzosin	Adrenergic receptor antagonist
aliskiren	Antihypertensive agent|Renin inhibitor|Peptidase inhibitor|Protease inhibitor
alprenolol	Adrenergic receptor antagonist
alrestatin	Aldose reductase inhibitor
altizide	Thiazide diuretic
altrenogest	Progestogen hormone
altretamine	DNA synthesis inhibitor
ALX-5407	Glycine transporter inhibitor
AM-281	Cannabinoid receptor antagonist
ambelline	Plant alkaloid
amcinonide	Glucocorticoid receptor agonist
AMG-9810	TRPV antagonist
spiramide	Dopamine receptor antagonist|Serotonin receptor antagonist
aminoglutethimide	Glucocorticoid receptor antagonist
aminopentamide	Acetylcholine receptor antagonist
amiodarone	Potassium channel blocker
amlodipine	Calcium channel blocker
amoxapine	Norepinephrine reputake inhibitor
amsacrine	Topoisomerase inhibitor
anagrelide	Phosphodiesterase inhibitor
phenazone	Cyclooxygenase inhibitor
apigenin	Casein kinase inhibitor|Cell proliferation inhibitor|Cytochrome P450 inhibitor
ARC-239	Adrenergic receptor antagonist
asiatic-acid	Apoptosis stimulant
ATPA	Glutamate receptor agonist
azaperone	Dopamine receptor antagonist
Ala-Ala-Phe-CMK	Tripeptidyl peptidase inhibitor
alfaxalone	Chloride channel agonist|GABA receptor agonist
ambroxol	Sodium channel blocker
CS-1657	PARP inhibitor
amisulpride	Dopamine receptor antagonist
amodiaquine	Histamine receptor agonist
amperozide	Dopamine receptor antagonist
amyleine	Local anesthetic
anpirtoline	Serotonin receptor agonist
arcyriaflavin-a	CDK inhibitor
articaine	Local anesthetic
asiaticoside	Anticancer agent
atovaquone	Mitochondrial electron transport inhibitor
FTase-inhibitor-B581	Farnesyltransferase inhibitor
BADGE	PPAR receptor antagonist
bendroflumethiazide	Sodium/potassium/chloride transporter inhibitor
benzoxiquine	Antiinfective drug
benzthiazide	Carbonic anhydrase inhibitor
bepridil	Calcium channel blocker
betamethasone	Glucocorticoid receptor agonist
betamethasone-acetate	Glucocorticoid receptor agonist
BH3I-1	BCL inhibitor
BIBU-1361	EGFR inhibitor
BIBX-1382	EGFR inhibitor|Tyrosine kinase inhibitor
biperiden	Acetylcholine receptor antagonist
bisacodyl	Laxative
bisoprolol	Adrenergic receptor antagonist
bithionol	Autotaxin inhibitor
BMS-182874	Endothelin receptor antagonist
BMY-45778	IP1 prostacyclin receptor agonist
BNTX	Opioid receptor antagonist
brazilin	Nitric oxide production inhibitor
BRL-52537	Opioid receptor agonist
bromhexine	Mucolytic agent
bromocriptine	Dopamine receptor agonist
brompheniramine	Histamine receptor antagonist
brucine	Glycine receptor antagonist
BU-224	Imidazoline receptor ligand|Imidazoline ligand
BU-226	Imidazoline receptor ligand|Imidazoline ligand
budesonide	Glucocorticoid receptor agonist
bupropion	Dopamine uptake inhibitor
buspirone	Serotonin receptor agonist
butyl-paraben	DNA synthesis inhibitor
BVT-948	Tyrosine phosphatase inhibitor
BW-B70C	Lipoxygenase inhibitor
byssochlamic-acid	Mycotoxin
benazepril	Angiotensin converting enzyme inhibitor
benzamil	Sodium channel blocker
benzonatate	Local anesthetic
benzopurpurin-4b	Binds HIV gp120 and inhibits HIV-1 entry into the neural cell line SK-N-MC
bergenin	Interleukin inhibitor
bisindolylmaleimide	CDK inhibitor|PKC inhibitor
bucladesine	Adenosine receptor agonist|CAMP stimulant
ceramide	Phosphoenolpyruvate carboxylase activator|Serine/threonine protein phosphatase activator
CA-074-Me	Cathepsin inhibitor
caffeine	Adenosine receptor antagonist|Phosphodiesterase inhibitor
candesartan-cilextil	Angiotensin receptor antagonist
canrenoic-acid	Mineralocorticoid receptor antagonist
carbamazepine	Carboxamide antiepileptic
carbinoxamine	Histamine receptor antagonist|L-type calcium channel blocker
carvedilol	Adrenergic receptor antagonist
celecoxib	Cyclooxygenase inhibitor
CGP-54626	GABA receptor antagonist
CGP-57380	MAPK-interacting kinase inhibitor|MAP kinase inhibitor
CGS-15943	Adenosine receptor antagonist
chlorambucil	DNA inhibitor
chlormadinone-acetate	5 alpha reductase inhibitor
chloroquine	Antimalarial agent
chloroxine	Opioid receptor antagonist
chlorphenamine	Histamine receptor antagonist
chlorpromazine	Dopamine receptor antagonist
chlorprothixene	Dopamine receptor antagonist
chlorthalidone	Carbonic anhydrase inhibitor
cilostazol	Phosphodiesterase inhibitor
cimetidine	Histamine receptor antagonist
cinanserin	Serotonin receptor antagonist
cinchonine	P-glycoprotein inhibitor
CITCO	CAR agonist
clemastine	Histamine receptor antagonist
clobetasol	Glucocorticoid receptor agonist
clofibrate	PPAR receptor agonist
clomifene	Estrogen receptor antagonist
clonidine	Adrenergic receptor agonist
CMPD-1	P38 MAPK inhibitor
CNQX	Glutamate receptor antagonist
colforsin	Adenylyl cyclase activator
cortisone-acetate	Glucocorticoid receptor agonist
coumarin	Vitamin K antagonist
CV-1808	Adenosine receptor agonist
cyanopindolol	Adrenergic receptor antagonist
cycloheximide	Protein synthesis inhibitor
cyclopentolate	Acetylcholine receptor antagonist
cyclopiazonic-acid	ATPase inhibitor
cyclosporin-a	Calcineurin inhibitor
calcipotriol	Vitamin D receptor agonist
SA-792709	Retinoid receptor agonist
chelidonine	Tubulin inhibitor
chlorphenesin-carbamate	Muscle relaxant
chlortetracycline	Protein synthesis inhibitor
chromanol	Potassium channel blocker
cimaterol	Adrenergic receptor agonist
cisapride	Serotonin receptor agonist
citalopram	Serotonin reuptake inhibitor
clebopride	Dopamine receptor antagonist
clioquinol	Chelating agent
CO-101244	Ionotropic glutamate receptor antagonist
cortisone	Glucocorticoid receptor agonist
corynanthine	Adrenergic receptor antagonist
danazol	Estrogen receptor antagonist|Progesterone receptor agonist
daunorubicin	RNA synthesis inhibitor|Topoisomerase inhibitor
DCPIB	Chloride channel blocker|Gap junction modulator|Glutamate inhibitor
gedunin	HSP inhibitor
deracoxib	Cyclooxygenase inhibitor
desipramine	Tricyclic antidepressant
desoximetasone	Glucocorticoid receptor agonist
desoxypeganine	Acetylcholinesterase inhibitor|Monoamine oxidase inhibitor
dexamethasone	Glucocorticoid receptor agonist
dexamethasone-acetate	Glucocorticoid receptor agonist|Corticosteroid agonist|Cytochrome P450 inhibitor
dextromethorphan	Glutamate receptor antagonist|Sigma receptor agonist
dibenzoylmethane	Anticancer agent
diclofenac	Cyclooxygenase inhibitor
dicycloverine	Acetylcholine receptor antagonist
dienestrol	Estrogen receptor agonist
diethylcarbamazine	Lipoxygenase inhibitor
diethylstilbestrol	Estrogen receptor agonist
diflunisal	Prostanoid receptor antagonist
digitoxin	ATPase inhibitor
digoxin	ATPase inhibitor
dihomo-gamma-linolenic-acid	Cholesterol inhibitor|Platelet aggregation inhibitor|Prostanoid receptor stimulant|Prostanoid receptor agonist
dihydro-7-desacetyldeoxygedunin	HSP inhibitor
dihydrodeoxygedunin	Growth factor receptor activator
dihydroergocristine	Adrenergic receptor antagonist|Prolactin inhibitor
dihydroergotamine	Serotonin receptor agonist
dihydrosamidin	Nitric oxide production inhibitor|Phospholipase inhibitor|Platelet activating factor receptor antagonist
diloxanide	Protein synthesis inhibitor
diltiazem	Calcium channel blocker
dioxybenzone	Topical sunscreen agent
dipropyl-dopamine	Dopamine receptor agonist
dipyridamole	Phosphodiesterase inhibitor
disopyramide	Sodium channel blocker
DMBI	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
DMSO	Control vehicle
domperidone	Dopamine receptor antagonist
donepezil	Acetylcholinesterase inhibitor
doxepin	Histamine receptor antagonist
doxorubicin	Topoisomerase inhibitor
doxylamine	Histamine receptor antagonist
DPO-1	Potassium channel blocker
droperidol	Dopamine receptor antagonist
duloxetine	Norepinephrine reuptake inhibitor|Serotonin reuptake inhibitor
daidzein	Estrogen receptor agonist
daphnetin	Protein kinase inhibitor
dephostatin	Tyrosine phosphatase inhibitor
digitoxigenin	ATPase inhibitor
dihydrexidine	Dopamine receptor agonist
dilazep	Adenosine reuptake inhibitor
diphemanil	Acetylcholine receptor antagonist
dipivefrine	Adrenergic receptor agonist
dorsomorphin	AMPK inhibitor
dubinidine	Antiepileptic
E-4031	Potassium channel blocker
berbamine	Calmodulin antagonist
icosapent	Platelet aggregation inhibitor
EMD-386088	Serotonin receptor agonist
emetine	Protein synthesis inhibitor
ephedrine	Adrenergic receptor agonist
epicatechin-gallate-(-)	Bacterial DNA gyrase inhibitor
epirubicin	Topoisomerase inhibitor
equilin	Estrogen receptor agonist
erythromycin-estolate	Bacterial 50S ribosomal subunit inhibitor
erythromycin-ethylsuccinate	Cytochrome P450 inhibitor|Motilin receptor agonist|NFkB pathway inhibitor|Protein synthesis inhibitor
erythrosine	Coloring agent
escitalopram	Selective serotonin reuptake inhibitor (SSRI)
estradiol	Estrogen receptor agonist
estradiol-benzoate	Contraceptive agent
estradiol-cypionate	Estrogen receptor agonist
estriol	Estrogen receptor agonist
estrone	Estrogen receptor agonist|Estrogenic hormone
estropipate	Estrogen receptor agonist
etacrynic-acid	Sodium/potassium/chloride transporter inhibitor
etamivan	Respiratory stimulant
ethinyl-estradiol	Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives
ethoprop	Acetylcholinesterase inhibitor
profenamine	Butyrylcholinesterase inhibitor|Cholinergic receptor antagonist
etodolac	Cyclooxygenase inhibitor
etomidate	GABA receptor modulator
eugenol	Androgen receptor antagonist
exemestane	Aromatase inhibitor
ezetimibe	Cholesterol inhibitor|Niemann-Pick C1-like 1 protein antagonist
vinburnine	Adrenergic receptor antagonist
eliprodil	Glutamate receptor antagonist
ergocryptine	Dopamine agonist
etazolate	Phosphodiesterase inhibitor
ethotoin	Hydantoin antiepileptic
eticlopride	Dopamine receptor antagonist
etilefrine	Adrenergic receptor agonist
etoposide	Topoisomerase inhibitor
famciclovir	DNA polymerase inhibitor
fenbufen	Cyclooxygenase inhibitor
fenoterol	Adrenergic receptor agonist
fexofenadine	Histamine receptor antagonist
FG-7142	GABA benzodiazepine site receptor inverse agonist
FGIN-1-27	Inositol monophosphatase inhibitor
FGIN-1-43	Benzodiazepine receptor agonist
fipronil	Chloride channel blocker|GABA gated chloride channel blocker
fludrocortisone-acetate	Glucocorticoid receptor agonist|Mineralocorticoid receptor agonist
flunarizine	Calcium channel blocker
fluocinolone	Glucocorticoid receptor agonist
fluocinolone-acetonide	Corticosteroid agonist|Glucocorticoid receptor agonist
fluorometholone	Glucocorticoid receptor agonist
flutamide	Androgen receptor antagonist
fluvastatin	HMGCR inhibitor
fraxetin	Antioxidant
flecainide	Sodium channel blocker
fluoxetine	Selective serotonin reuptake inhibitor (SSRI)
fluspirilene	Dopamine receptor antagonist
forskolin	Adenylyl cyclase activator
fursultiamine	Vitamin B
gemfibrozil	Lipoprotein lipase activator
gingerol	Nitric oxide synthase inhibitor
gitoxigenin	ATPase inhibitor
ilomastat	Matrix metalloprotease inhibitor
5'-guanidinonaltrindole	Opioid receptor antagonist
GR-103691	Dopamine receptor antagonist
GR-113808	Serotonin receptor antagonist
GR-135531	Melatonin receptor agonist
GSK-3-inhibitor-II	PKC inhibitor
guaifenesin	Expectorant
guanabenz	Adrenergic receptor agonist
guanfacine	Adrenergic receptor agonist
GW-1929	PPAR receptor agonist|Insulin sensitizer
GW-3965	LXR agonist|ABC transporter expression enhancer
GW-4064	FXR agonist
GW-5074	RAF inhibitor|Leucine rich repeat kinase inhibitor
GW-7647	PPAR receptor agonist
galantamine	Acetylcholinesterase inhibitor
gelsemine	Acetylcholine receptor antagonist|Glycine receptor antagonist
glycocholic-acid	Cholesterol inhibitor
glycodeoxycholic-acid	Apoptosis stimulant
guanaben-acetate	Adrenergic receptor agonist
hydroxyfasudil	Rho associated kinase inhibitor
haloperidol	Dopamine receptor antagonist
hexylresorcinol	Local anesthetic
homatropine	Acetylcholine receptor antagonist
HTMT	Histamine receptor agonist
hydrocortisone-acetate	Corticosteroid agonist|Glucocorticoid receptor agonist
hydrocortisone-hemisuccinate	Glucocorticoid receptor agonist
hydrocortisone-phosphate	Glucocorticoid receptor agonist
hyoscyamine	Acetylcholine receptor antagonist
hypericin	Tyrosine kinase inhibitor
heliotrine	Pyrrolizidine alkaloid
helveticoside	ATPase inhibitor
homochlorcyclizine	Antihistamine
huperzine-a	Acetylcholinesterase inhibitor|Glutamate receptor antagonist
hydrocotarnine	Opioid receptor antagonist
hydroquinine	Antiarrhythmic
hydroxytacrine-maleate-(r,s)	Cholinesterase inhibitor
hymecromone	Monoamine oxidase inhibitor
I-OMe-AG-538	Inhibitor of insulin growth factor 1 receptor protein tyrosine kinase
IB-MECA	Adenosine receptor agonist
ibuprofen	Cyclooxygenase inhibitor
icariin	Phosphodiesterase inhibitor
ICI-204448	Opioid receptor agonist
ICI-63197	Phosphodiesterase inhibitor
ICI-118551	Adrenergic receptor antagonist
imipramine	Norepinephrine reputake inhibitor|Serotonin reuptake inhibitor
INCA-6	Calcineurin inhibitor
indapamide	Thiazide diuretic
indirubin	CDK inhibitor|Glycogen synthase kinase inhibitor
indometacin	Cyclooxygenase inhibitor
indoprofen	Cyclooxygenase inhibitor|Prostanoid receptor antagonist
iopanoic-acid	Radiopaque medium
irbesartan	Angiotensin receptor antagonist
iso-olomoucine	CDK inhibitor
isogedunin	HSP inhibitor
isoxicam	Cyclooxygenase inhibitor
isoxsuprine	Adrenergic receptor agonist
icilin	TRPV agonist
imiloxan	Adrenergic receptor antagonist
immethridine	Histamine receptor agonist
indirubin-3-monoxime	CDK inhibitor|Glycogen synthase kinase inhibitor
iocetamic-acid	Radiopaque medium
ipratropium	Acetylcholine receptor antagonist
ipsapirone	Serotonin receptor agonist
isradipine	Calcium channel blocker
ketorolac	Cyclooxygenase inhibitor
